id,sku_id,title,slug,category,sub_category,brand_name,product_type,gender,colorways,brand_sku,model,lowest_price,description,is_d2c,is_active,is_certificate_required,featured_image
1,YEBO35V2BO,Yeezy Boost 350 V2 Bone,yeezy-boost-350-v2-bone,casual footwear,Shoes,Adidas,sneakers,male,Bone/Bone/Bone,HQ6316,Yeezy Boost 350,6296,,FALSE,TRUE,TRUE,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/069/692/833/original/896849_01.jpg.jpeg?action=crop&width=1000
2,YEBO35V2ON,Yeezy Boost 350 V2 Onyx,yeezy-boost-350-v2-onyx,casual footwear,Shoes,Adidas,sneakers,male,Onyx/Onyx/Onyx,HQ4540,Yeezy Boost 350,11880,,FALSE,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/31-03-2025-052841-yeezy-boost-350-v2-onyx.png
3,BYEEBOV2DASA,Yeezy Boost 350 V2 Dark Salt,yeezy-boost-350-v2-dark-salt,casual footwear,Shoes,Adidas,sneakers,male,MX Dark Salt/MX Dark Salt/MX Dark Salt,ID4811,Yeezy Boost 350,11830,{},FALSE,TRUE,TRUE,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/091/607/959/original/1209353_01.jpg.jpeg?action=crop&width=1000
4,BJO4REBRRE,Air Jordan 4 Retro Bred Reimagined,air-jordan-4-retro-bred-reimagined,casual footwear,Shoes,Nike,sneakers,male,Black/Fire Red/Cement Grey/Summit White,FV5029 006,Air Jordan 4,12870,{},FALSE,TRUE,TRUE,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/097/777/584/original/1293064_01.jpg.jpeg?action=crop&width=600
5,ADYE35V2CABE,Adidas Yeezy 350 V2 Carbon Beluga,adidas-yeezy-350-v2-carbon-beluga,casual footwear,Shoes,Adidas,sneakers,male,Carbon Beluga/Steeple Gray/Solar Red,HQ7045,Yeezy Boost 350,10260,,FALSE,TRUE,TRUE,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/089/100/261/original/1072889_01.jpg.jpeg?action=crop&width=1000
6,YEBO35V2SA,Yeezy Boost 350 V2 Salt,yeezy-boost-350-v2-salt,casual footwear,Shoes,Adidas,sneakers,male,Salt/Core Black/Salt,HQ2060,Yeezy Boost 350,12418,,FALSE,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/31-03-2025-052841-yeezy-boost-350-v2-salt.png
7,YEBO35V2SL,Yeezy Boost 350 V2 Slate,yeezy-boost-350-v2-slate,casual footwear,Shoes,Adidas,sneakers,male,Slate/Core Black/Slate,HP7870,Yeezy Boost 350,13588,,FALSE,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/02-04-2025-202112-yebo35v2sl_photo1.png
8,BAIJO4REMIBL(2,Air Jordan 4 Retro Military Blue (2024),air-jordan-4-retro-military-blue-2024,casual footwear,Shoes,Nike,sneakers,male,Off-White/Military Blue/Neutral Grey,FV5029 141,Air Jordan 4,11088,{},FALSE,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/02-04-2025-202122-baijo4remibl282_photo1.png
9,AIJO1REHIOGCHLOFO,Air Jordan 1 Retro High OG Chicago Lost  Found,air-jordan-1-retro-high-og-chicago-lost-found,casual footwear,Shoes,nike,sneakers,male,Varsity Red/Black/Sail/Muslin,DZ5485 612,Air Jordan 1,12418,,FALSE,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/02-04-2025-202132-aijo1rehiogchlofo_photo1.png
10,DULOPA,Dunk Low Panda,dunk-low-panda,casual footwear,Shoes,Nike,sneakers,male,White/Black/White,DD1391 100,Dunk,5940,,FALSE,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/02-04-2025-202143-dulopa_photo1.png
